source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,"Thankfully, Trump Is Still Alive. Unfortunately, So Is His Misguided Crypto Project",Donald Trump officially announced details of his cryptocurrency project during an X space Monday night.,https://gizmodo.com/thankfully-trump-is-still-alive-unfortunately-so-is-his-misguided-crypto-project-2000499496,https://gizmodo.com/app/uploads/2024/09/Donald-Trump-speaks-at-a-campaign-event-in-Tucson-Arizona.jpg,2024-09-17T18:20:21Z,"Donald Trump dodged another bullet this weekend when a second assassination attempt against him was foiled at his golf course in West Palm Beach. In an apparent show of resilience on Monday, Trump ap… [+5933 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,"Haitian Group Wants Criminal Charges Filed Against Trump, Vance Over Racist Lies on Social Media",A Haitian nonprofit has asked that arrest warrants be issued for Trump and Vance.,https://gizmodo.com/haitian-group-wants-criminal-charges-filed-against-trump-vance-over-racist-lies-on-social-media-2000502730,https://gizmodo.com/app/uploads/2024/09/trump-vance-sept-11-2024.jpg,2024-09-24T17:45:19Z,"Donald Trump and JD Vance have spent weeks spreading lies that Haitian immigrants are eating cats and dogs in Springfield, Ohio. Those idiotic lies have had real consequences for the community, with … [+4330 chars]"
"{'id': None, 'name': 'BBC News'}",,Trump ‘fine-tuning theatrics’ before Harris debate,"The vice-president, meanwhile, is practising how to handle Trump's attacks while trying out lines designed to rattle him.",https://www.bbc.com/news/articles/cdey85yw4npo,https://ichef.bbci.co.uk/news/1024/branded_news/b60c/live/b80db780-6ed9-11ef-b02d-c5f3b724a1ea.jpg,2024-09-09T18:22:16Z,"Watch: Why muted mics wont help Trump or Harris at debate
American Presidential debates arent won on policy.
Ive covered six US presidential elections and have never seen a debate where one candida… [+3439 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Conspiracy Theorists Think Alleged Trump Assassin Had Inside Information About His Location,How on Earth did someone guess Trump would be playing golf at a golf course named after him?,https://gizmodo.com/conspiracy-theorists-think-alleged-trump-assassin-had-inside-information-about-his-location-2000499232,https://gizmodo.com/app/uploads/2024/09/trump-golfing-club.jpg,2024-09-16T19:10:42Z,"When news broke Sunday that someone had a gun near the golf course where Donald Trump was playing in Florida, it didn’t take long for the world to discover another potential assassin was probably com… [+10661 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Matthew Gault,The Market Has Spoken: Trump Lost the Debate,Truth Social shares sank following Trump’s lousy performance and even the gamblers have begun to abandon him.,https://gizmodo.com/the-market-has-spoken-trump-lost-the-debate-2000497451,https://gizmodo.com/app/uploads/2024/09/TrumpStock.jpg,2024-09-11T13:55:02Z,The market didnt like what it heard on Tuesday night as Trump and Kamala Harris faced off on the debate stage for the first time. Shares of the Trump Media &amp; Technology Group slipped more than 14… [+2175 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Trump Spreads Hurricane Helene Conspiracies as Hundreds Remain Missing,Far-right influencers think Democrats can literally steer hurricanes to Republican-voting regions.,https://gizmodo.com/trump-spreads-hurricane-helene-conspiracies-as-hundreds-remain-missing-2000505112,https://gizmodo.com/app/uploads/2024/09/trump-in-georgia-hurricane.jpg,2024-09-30T19:05:48Z,Donald Trump helped spread a conspiracy theory on Monday that people currently suffering from the devastation of Hurricane Helene are being intentionally ignored because they’re Republican. The forme… [+6259 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Matt Novak,Trump Says He’ll Prosecute Google If He Retakes Power,The former president insists Google is hiding positive news stories about him.,https://gizmodo.com/trump-says-hell-prosecute-google-if-he-retakes-power-2000504499,https://gizmodo.com/app/uploads/2024/09/trump-tie-crooked.jpg,2024-09-27T19:05:27Z,Donald Trump called for the criminal prosecution of Google by the U.S. Justice Department (DOJ) during a flurry of unhinged tweets Friday on his social media platform Truth Social. And in any other p… [+4738 chars]
"{'id': None, 'name': 'BBC News'}",,Trump vows mass deportations from town rocked by 'pet-eating' lies,"Springfield, Ohio, will be where mass deportations begin, Trump says, repeating a debunked claim.",https://www.bbc.com/news/articles/c3wp6q132p2o,https://ichef.bbci.co.uk/news/1024/branded_news/3a73/live/fcde1ff0-7215-11ef-a765-134d8fbb2644.jpg,2024-09-13T22:05:03Z,"Donald Trump has said he will mass deport migrants in a small Ohio town that has been rocked by baseless claims that its Haitian influx are eating pets and park animals.
""We're going to start with S… [+2103 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,The billionaire eyeing a return to the White House,"Long before Donald Trump became US president, he was ""The Donald"", a celebrity and property tycoon.",https://www.bbc.co.uk/news/world-us-canada-35318432,https://ichef.bbci.co.uk/news/1024/branded_news/C3E1/production/_133354105_gettyimages-1440108599.jpg,2024-09-10T16:26:49Z,Trump began the general election facing 91 felony charges across four criminal cases but his strategy of delaying legal cases has largely succeeded. Three cases will now no longer take place before t… [+1289 chars]
"{'id': None, 'name': 'BBC News'}",,Harris goads Trump into flustered debate performance,"The former president couldn't resist his rival's personal digs which threw him off message, writes Anthony Zurcher.",https://www.bbc.com/news/articles/c4gdnl9pg1wo,https://ichef.bbci.co.uk/news/1024/branded_news/4e19/live/c1449c90-6ff3-11ef-8c1a-df523ba43a9a.jpg,2024-09-11T04:00:26Z,"Donald Trump and Kamala Harris met for the first time on the debate stage in Philadelphia on Tuesday night.
They may have shaken hands, but they did not hit it off.
In a fiery 90 minutes, Harris fr… [+4696 chars]"
